Country,Region,education_expenditure(%GDP),education_categorie,power_generation(kW),generation_categorie,Btu/person_consumption($),consumption_categorie,financial_assets_value($),financial_categorie
RWANDA,AFRICA,3.8,low,294000,very_low,1808000,very_low,1834000000,low
ECUADOR,SOUTH AMERICA,3.7,low,8438000,high,35700000,medium,4442000000,medium
PHILIPPINES,EAST AND SOUTHEAST ASIA,3.7,low,29174000,high,17654000,low,103742000000,very_high
ROMANIA,EUROPE,3.7,low,19748000,high,59377000,medium,73000000000,very_high
ZAMBIA,AFRICA,3.7,low,3986000,medium,8265000,very_low,2968000000,low
RUSSIA,CENTRAL ASIA,3.7,low,301926000,very_high,224858000,very_high,597217000000,very_high
CHINA,EAST AND SOUTHEAST ASIA,3.6,low,2949000000,very_high,113805000,very_high,3450000000000,very_high
SERBIA,EUROPE,3.6,low,8202000,high,91884000,high,27569000000,high
GEORGIA,CENTRAL ASIA,3.6,low,4526000,medium,56076000,medium,5002000000,medium
DJIBOUTI,AFRICA,3.6,low,210000,very_low,10428000,low,502034000,very_low
IRAN,MIDDLE EAST,3.6,low,86058000,very_high,160779000,very_high,120600000000,very_high
SAINT LUCIA,CENTRAL AMERICA AND THE CARIBBEAN,3.6,low,93000,very_low,47522000,medium,424324000,very_low
GRENADA,CENTRAL AMERICA AND THE CARIBBEAN,3.6,low,60000,very_low,41703000,medium,404130000,very_low
INDONESIA,EAST AND SOUTHEAST ASIA,3.5,low,70826000,very_high,37390000,medium,146359000000,very_high
JAPAN,EAST AND SOUTHEAST ASIA,3.4,low,361617000,very_high,129504000,very_high,1295000000000,very_high
COTE D'IVOIRE,AFRICA,3.4,low,2315000,low,8489000,low,6257000000,medium
TURKEY (TURKIYE),MIDDLE EAST,3.4,low,106281000,very_high,70521000,high,140858000000,very_high
TANZANIA,AFRICA,3.3,low,1818000,low,4091000,very_low,5050000000,medium
PARAGUAY,SOUTH AMERICA,3.3,low,8928000,high,25733000,low,9886000000,medium
THAILAND,EAST AND SOUTHEAST ASIA,3.2,low,55971000,very_high,80602000,high,224470000000,very_high
QATAR,MIDDLE EAST,3.2,low,11400000,high,814308000,very_high,51539000000,high
GABON,AFRICA,3.2,low,785000,low,22101000,low,1372000000,low
JORDAN,MIDDLE EAST,3.2,low,6891000,medium,32909000,medium,15560000000,high
CAMEROON,AFRICA,3.2,low,1798000,low,4271000,very_low,5133000000,medium
TURKMENISTAN,CENTRAL ASIA,3.1,very_low,6512000,medium,261142000,very_high,24910000000,high
ALBANIA,EUROPE,3.1,very_low,2857000,medium,27407000,low,6455000000,medium
CAMBODIA,EAST AND SOUTHEAST ASIA,3.1,very_low,3673000,medium,15664000,low,19984000000,high
IRELAND,EUROPE,3.1,very_low,12321000,high,113837000,very_high,12905000000,medium
MADAGASCAR,AFRICA,3.1,very_low,759000,low,1816000,very_low,2632000000,low
GUATEMALA,CENTRAL AMERICA AND THE CARIBBEAN,3.1,very_low,4995000,medium,17096000,low,21311000000,high
BENIN,AFRICA,3.0,very_low,505000,low,6472000,very_low,698900000,very_low
MALAWI,AFRICA,2.9,very_low,731000,low,1792000,very_low,594498000,very_low
CHAD,AFRICA,2.9,very_low,167000,very_low,1502000,very_low,211591000,very_low
AFGHANISTAN,SOUTH ASIA,2.9,very_low,627000,low,3380000,very_low,9749000000,medium
"BAHAMAS, THE",CENTRAL AMERICA AND THE CARIBBEAN,2.8,very_low,608000,low,104409000,high,2512000000,low
SINGAPORE,EAST AND SOUTHEAST ASIA,2.8,very_low,13134000,high,643259000,very_high,359835000000,very_high
"GAMBIA, THE",AFRICA,2.8,very_low,162000,very_low,2731000,very_low,577028000,very_low
ARMENIA,CENTRAL ASIA,2.8,very_low,4265000,medium,54689000,medium,3607000000,low
GUINEA_BISSAU,AFRICA,2.7,very_low,29000,very_low,2351000,very_low,356400000,very_low
UGANDA,AFRICA,2.7,very_low,1452000,low,2252000,very_low,3359000000,low
LIBERIA,AFRICA,2.7,very_low,199000,very_low,1822000,very_low,599660000,very_low
"CONGO, DEMOCRATIC REPUBLIC OF THE",AFRICA,2.7,very_low,3229000,medium,1305000,very_low,5104000000,medium
COMOROS,AFRICA,2.6,very_low,32000,very_low,7139000,very_low,324561000,very_low
EGYPT,AFRICA,2.5,very_low,59680000,very_high,34975000,medium,33070000000,high
SAINT KITTS AND NEVIS,CENTRAL AMERICA AND THE CARIBBEAN,2.5,very_low,72000,very_low,81454000,high,286075000,very_low
PAKISTAN,SOUTH ASIA,2.4,very_low,43512000,very_high,14076000,low,13730000000,medium
ANGOLA,AFRICA,2.4,very_low,7600000,high,9146000,low,13942000000,high
LAOS,EAST AND SOUTHEAST ASIA,2.3,very_low,12738000,high,34463000,medium,1770000000,low
VANUATU,AUSTRALIA AND OCEANIA,2.2,very_low,39000,very_low,12934000,low,643768000,very_low
GUINEA,AFRICA,2.2,very_low,1060000,low,5235000,very_low,1499000000,low
CENTRAL AFRICAN REPUBLIC,AFRICA,2.2,very_low,63000,very_low,954000,very_low,374405000,very_low
BAHRAIN,MIDDLE EAST,2.2,very_low,7031000,medium,554202000,very_high,5118000000,medium
BURMA,EAST AND SOUTHEAST ASIA,2.1,very_low,7419000,medium,8384000,low,7670000000,medium
CAYMAN ISLANDS,CENTRAL AMERICA AND THE CARIBBEAN,2.1,very_low,176000,very_low,143149000,very_high,234000000,very_low
BANGLADESH,SOUTH ASIA,2.1,very_low,22699000,high,11472000,low,21860000000,high
SRI LANKA,SOUTH ASIA,1.9,very_low,5326000,medium,12372000,low,3137000000,low
MAURITANIA,AFRICA,1.9,very_low,812000,low,14135000,low,2039000000,low
LEBANON,MIDDLE EAST,1.7,very_low,5161000,medium,43105000,medium,32513000000,high
SOUTH SUDAN,AFRICA,1.5,very_low,136000,very_low,2092000,very_low,183615000,very_low
HAITI,CENTRAL AMERICA AND THE CARIBBEAN,1.4,very_low,472000,low,3486000,very_low,2586000000,low
PAPUA NEW GUINEA,EAST AND SOUTHEAST ASIA,1.4,very_low,1148000,low,8781000,low,3901000000,medium
VENEZUELA,SOUTH AMERICA,1.3,very_low,33493000,very_high,54474000,medium,9794000000,medium
NIGERIA,AFRICA,0.5,very_low,4094000,medium,7993000,very_low,35564000000,high
SOMALIA,AFRICA,0.3,very_low,156000,very_low,649000,very_low,30450000,very_low
